2024-06-15 00:08:03 - train: epoch 182, iter:780, loss: 0.8249, lr: 0.000687221653578915
2024-06-15 00:08:11 - train: epoch 182, iter:800, loss: 0.8267, lr: 0.000687221653578915
2024-06-15 00:08:32 - val epoch: 182, loss: 0.9151, miou: 0.4847149123633208, f1_or_dsc: 0.6529400470448127, accuracy: 0.8182747838718821,                 specificity: 0.8586792121954666, sensitivity: 0.6945216928941523
2024-06-15 00:08:33 - train: epoch 183, iter:0, loss: 0.5744, lr: 0.0007157607493247102
2024-06-15 00:08:41 - train: epoch 183, iter:20, loss: 0.8672, lr: 0.0007157607493247102
2024-06-15 00:08:50 - train: epoch 183, iter:40, loss: 0.8443, lr: 0.0007157607493247102
2024-06-15 00:08:58 - train: epoch 183, iter:60, loss: 0.8073, lr: 0.0007157607493247102
2024-06-15 00:09:07 - train: epoch 183, iter:80, loss: 0.8059, lr: 0.0007157607493247102
2024-06-15 00:09:17 - train: epoch 183, iter:100, loss: 0.8144, lr: 0.0007157607493247102
2024-06-15 00:09:25 - train: epoch 183, iter:120, loss: 0.8258, lr: 0.0007157607493247102
2024-06-15 00:09:34 - train: epoch 183, iter:140, loss: 0.8151, lr: 0.0007157607493247102
2024-06-15 00:09:44 - train: epoch 183, iter:160, loss: 0.7966, lr: 0.0007157607493247102
2024-06-15 00:09:53 - train: epoch 183, iter:180, loss: 0.8102, lr: 0.0007157607493247102
2024-06-15 00:10:03 - train: epoch 183, iter:200, loss: 0.8304, lr: 0.0007157607493247102
2024-06-15 00:10:13 - train: epoch 183, iter:220, loss: 0.8359, lr: 0.0007157607493247102
2024-06-15 00:10:23 - train: epoch 183, iter:240, loss: 0.8437, lr: 0.0007157607493247102
2024-06-15 00:10:32 - train: epoch 183, iter:260, loss: 0.8438, lr: 0.0007157607493247102
2024-06-15 00:10:42 - train: epoch 183, iter:280, loss: 0.8367, lr: 0.0007157607493247102
2024-06-15 00:10:54 - train: epoch 183, iter:300, loss: 0.8364, lr: 0.0007157607493247102
2024-06-15 00:11:04 - train: epoch 183, iter:320, loss: 0.8358, lr: 0.0007157607493247102
2024-06-15 00:11:14 - train: epoch 183, iter:340, loss: 0.8332, lr: 0.0007157607493247102
2024-06-15 00:11:24 - train: epoch 183, iter:360, loss: 0.8392, lr: 0.0007157607493247102
2024-06-15 00:11:34 - train: epoch 183, iter:380, loss: 0.8343, lr: 0.0007157607493247102
2024-06-15 00:11:43 - train: epoch 183, iter:400, loss: 0.8366, lr: 0.0007157607493247102
2024-06-15 00:11:54 - train: epoch 183, iter:420, loss: 0.8387, lr: 0.0007157607493247102
2024-06-15 00:12:06 - train: epoch 183, iter:440, loss: 0.8396, lr: 0.0007157607493247102
2024-06-15 00:12:15 - train: epoch 183, iter:460, loss: 0.8430, lr: 0.0007157607493247102
2024-06-15 00:12:25 - train: epoch 183, iter:480, loss: 0.8388, lr: 0.0007157607493247102
2024-06-15 00:12:34 - train: epoch 183, iter:500, loss: 0.8349, lr: 0.0007157607493247102
2024-06-15 00:12:42 - train: epoch 183, iter:520, loss: 0.8349, lr: 0.0007157607493247102
2024-06-15 00:12:51 - train: epoch 183, iter:540, loss: 0.8383, lr: 0.0007157607493247102
2024-06-15 00:13:00 - train: epoch 183, iter:560, loss: 0.8380, lr: 0.0007157607493247102
2024-06-15 00:13:10 - train: epoch 183, iter:580, loss: 0.8355, lr: 0.0007157607493247102
2024-06-15 00:13:20 - train: epoch 183, iter:600, loss: 0.8365, lr: 0.0007157607493247102
2024-06-15 00:13:31 - train: epoch 183, iter:620, loss: 0.8377, lr: 0.0007157607493247102
2024-06-15 00:13:39 - train: epoch 183, iter:640, loss: 0.8370, lr: 0.0007157607493247102
2024-06-15 00:13:49 - train: epoch 183, iter:660, loss: 0.8364, lr: 0.0007157607493247102
2024-06-15 00:13:59 - train: epoch 183, iter:680, loss: 0.8336, lr: 0.0007157607493247102
2024-06-15 00:14:10 - train: epoch 183, iter:700, loss: 0.8348, lr: 0.0007157607493247102
2024-06-15 00:14:19 - train: epoch 183, iter:720, loss: 0.8346, lr: 0.0007157607493247102
2024-06-15 00:14:29 - train: epoch 183, iter:740, loss: 0.8322, lr: 0.0007157607493247102
2024-06-15 00:14:39 - train: epoch 183, iter:760, loss: 0.8339, lr: 0.0007157607493247102
2024-06-15 00:14:49 - train: epoch 183, iter:780, loss: 0.8315, lr: 0.0007157607493247102
2024-06-15 00:14:58 - train: epoch 183, iter:800, loss: 0.8300, lr: 0.0007157607493247102
2024-06-15 00:15:19 - val epoch: 183, loss: 0.9819, miou: 0.42297943285327533, f1_or_dsc: 0.594498308391066, accuracy: 0.8192794696003401,                 specificity: 0.9110402082983903, sensitivity: 0.5382292106203098
2024-06-15 00:15:19 - train: epoch 184, iter:0, loss: 1.3377, lr: 0.0007434680686803483
2024-06-15 00:15:29 - train: epoch 184, iter:20, loss: 0.8606, lr: 0.0007434680686803483
2024-06-15 00:15:39 - train: epoch 184, iter:40, loss: 0.8908, lr: 0.0007434680686803483
2024-06-15 00:15:49 - train: epoch 184, iter:60, loss: 0.8869, lr: 0.0007434680686803483
2024-06-15 00:15:58 - train: epoch 184, iter:80, loss: 0.8903, lr: 0.0007434680686803483
2024-06-15 00:16:08 - train: epoch 184, iter:100, loss: 0.8729, lr: 0.0007434680686803483
2024-06-15 00:16:19 - train: epoch 184, iter:120, loss: 0.8723, lr: 0.0007434680686803483
2024-06-15 00:16:28 - train: epoch 184, iter:140, loss: 0.8864, lr: 0.0007434680686803483
2024-06-15 00:16:37 - train: epoch 184, iter:160, loss: 0.8757, lr: 0.0007434680686803483
2024-06-15 00:16:46 - train: epoch 184, iter:180, loss: 0.8594, lr: 0.0007434680686803483
2024-06-15 00:16:55 - train: epoch 184, iter:200, loss: 0.8671, lr: 0.0007434680686803483
2024-06-15 00:17:06 - train: epoch 184, iter:220, loss: 0.8604, lr: 0.0007434680686803483
2024-06-15 00:17:15 - train: epoch 184, iter:240, loss: 0.8600, lr: 0.0007434680686803483
2024-06-15 00:17:26 - train: epoch 184, iter:260, loss: 0.8577, lr: 0.0007434680686803483
2024-06-15 00:17:35 - train: epoch 184, iter:280, loss: 0.8572, lr: 0.0007434680686803483
2024-06-15 00:17:44 - train: epoch 184, iter:300, loss: 0.8534, lr: 0.0007434680686803483
2024-06-15 00:17:53 - train: epoch 184, iter:320, loss: 0.8567, lr: 0.0007434680686803483
2024-06-15 00:18:02 - train: epoch 184, iter:340, loss: 0.8556, lr: 0.0007434680686803483
2024-06-15 00:18:12 - train: epoch 184, iter:360, loss: 0.8567, lr: 0.0007434680686803483
2024-06-15 00:18:24 - train: epoch 184, iter:380, loss: 0.8570, lr: 0.0007434680686803483
2024-06-15 00:18:32 - train: epoch 184, iter:400, loss: 0.8500, lr: 0.0007434680686803483
2024-06-15 00:18:42 - train: epoch 184, iter:420, loss: 0.8482, lr: 0.0007434680686803483
2024-06-15 00:18:51 - train: epoch 184, iter:440, loss: 0.8419, lr: 0.0007434680686803483
2024-06-15 00:19:00 - train: epoch 184, iter:460, loss: 0.8355, lr: 0.0007434680686803483
2024-06-15 00:19:09 - train: epoch 184, iter:480, loss: 0.8372, lr: 0.0007434680686803483
2024-06-15 00:19:19 - train: epoch 184, iter:500, loss: 0.8312, lr: 0.0007434680686803483
2024-06-15 00:19:28 - train: epoch 184, iter:520, loss: 0.8285, lr: 0.0007434680686803483
2024-06-15 00:19:39 - train: epoch 184, iter:540, loss: 0.8302, lr: 0.0007434680686803483
2024-06-15 00:19:50 - train: epoch 184, iter:560, loss: 0.8312, lr: 0.0007434680686803483
2024-06-15 00:19:59 - train: epoch 184, iter:580, loss: 0.8317, lr: 0.0007434680686803483
2024-06-15 00:20:08 - train: epoch 184, iter:600, loss: 0.8307, lr: 0.0007434680686803483
2024-06-15 00:20:17 - train: epoch 184, iter:620, loss: 0.8321, lr: 0.0007434680686803483
2024-06-15 00:20:27 - train: epoch 184, iter:640, loss: 0.8327, lr: 0.0007434680686803483
2024-06-15 00:20:39 - train: epoch 184, iter:660, loss: 0.8303, lr: 0.0007434680686803483
2024-06-15 00:20:49 - train: epoch 184, iter:680, loss: 0.8297, lr: 0.0007434680686803483
2024-06-15 00:20:59 - train: epoch 184, iter:700, loss: 0.8271, lr: 0.0007434680686803483
2024-06-15 00:21:07 - train: epoch 184, iter:720, loss: 0.8278, lr: 0.0007434680686803483
2024-06-15 00:21:16 - train: epoch 184, iter:740, loss: 0.8321, lr: 0.0007434680686803483
