2024-06-15 14:06:34 - #----------Config info----------#
2024-06-15 14:06:34 - f: <_io.TextIOWrapper name='./parsed_args.txt' mode='r' encoding='UTF-8'>,
2024-06-15 14:06:34 - parsed_args: {'network': 'KANUSeg', 'datasets': 'BUSI'},
2024-06-15 14:06:34 - line: datasets=BUSI
,
2024-06-15 14:06:34 - key: datasets,
2024-06-15 14:06:34 - value: BUSI,
2024-06-15 14:06:34 - network: KANUSeg,
2024-06-15 14:06:34 - datasets: BUSI,
2024-06-15 14:06:34 - model_config: {'num_classes': 1, 'input_channels': 3, 'EMBED_DIM': 96, 'depths': [2, 2, 2, 2], 'depths_decoder': [2, 2, 2, 1], 'drop_path_rate': 0.2, 'load_ckpt_path': './pretrained_ckpt/vmamba_small_e238_ema.pth'},
2024-06-15 14:06:34 - data_path: ./data/BUSI/,
2024-06-15 14:06:34 - criterion: BceDiceLoss(
  (bce): BCELoss(
    (bceloss): BCELoss()
  )
  (dice): DiceLoss()
),
2024-06-15 14:06:34 - pretrained_path: ./pre_trained/,
2024-06-15 14:06:34 - num_classes: 1,
2024-06-15 14:06:34 - input_size_h: 224,
2024-06-15 14:06:34 - input_size_w: 224,
2024-06-15 14:06:34 - input_channels: 3,
2024-06-15 14:06:34 - distributed: False,
2024-06-15 14:06:34 - local_rank: -1,
2024-06-15 14:06:34 - num_workers: 0,
2024-06-15 14:06:34 - seed: 42,
2024-06-15 14:06:34 - world_size: None,
2024-06-15 14:06:34 - rank: None,
2024-06-15 14:06:34 - amp: False,
2024-06-15 14:06:34 - gpu_id: 0,
2024-06-15 14:06:34 - batch_size: 1,
2024-06-15 14:06:34 - epochs: 300,
2024-06-15 14:06:34 - work_dir: output/KANUSeg_BUSI_/,
2024-06-15 14:06:34 - print_interval: 20,
2024-06-15 14:06:34 - val_interval: 30,
2024-06-15 14:06:34 - save_interval: 10,
2024-06-15 14:06:34 - threshold: 0.5,
2024-06-15 14:06:34 - train_transformer: Compose(
    <utils.myNormalize object at 0x77520306dcd0>
    <utils.myToTensor object at 0x775203a7a4d0>
    <utils.myRandomHorizontalFlip object at 0x775203074a50>
    <utils.myRandomVerticalFlip object at 0x775202f05210>
    <utils.myRandomRotation object at 0x775202f05290>
    <utils.myResize object at 0x77520350eb90>
),
2024-06-15 14:06:34 - test_transformer: Compose(
    <utils.myNormalize object at 0x775202f052d0>
    <utils.myToTensor object at 0x775202f05310>
    <utils.myResize object at 0x775202f05350>
),
2024-06-15 14:06:34 - opt: AdamW,
2024-06-15 14:06:34 - lr: 0.001,
2024-06-15 14:06:34 - betas: (0.9, 0.999),
2024-06-15 14:06:34 - eps: 1e-08,
2024-06-15 14:06:34 - weight_decay: 0.01,
2024-06-15 14:06:34 - amsgrad: False,
2024-06-15 14:06:34 - sch: CosineAnnealingLR,
2024-06-15 14:06:34 - T_max: 50,
2024-06-15 14:06:34 - eta_min: 1e-05,
2024-06-15 14:06:34 - last_epoch: -1,
2024-06-15 14:06:37 - flops: 0.185450496, params: 0.132081, Total params: : 7.9930
2024-06-15 14:06:38 - train: epoch 1, iter:0, loss: 1.2987, lr: 0.001
2024-06-15 14:06:45 - train: epoch 1, iter:20, loss: 1.3815, lr: 0.001
2024-06-15 14:06:52 - train: epoch 1, iter:40, loss: 1.3163, lr: 0.001
2024-06-15 14:07:00 - train: epoch 1, iter:60, loss: 1.2893, lr: 0.001
2024-06-15 14:07:07 - train: epoch 1, iter:80, loss: 1.2664, lr: 0.001
2024-06-15 14:07:15 - train: epoch 1, iter:100, loss: 1.2680, lr: 0.001
2024-06-15 14:07:22 - train: epoch 1, iter:120, loss: 1.2584, lr: 0.001
2024-06-15 14:07:29 - train: epoch 1, iter:140, loss: 1.2472, lr: 0.001
2024-06-15 14:07:37 - train: epoch 1, iter:160, loss: 1.2433, lr: 0.001
2024-06-15 14:07:44 - train: epoch 1, iter:180, loss: 1.2339, lr: 0.001
2024-06-15 14:07:51 - train: epoch 1, iter:200, loss: 1.2363, lr: 0.001
2024-06-15 14:07:58 - train: epoch 1, iter:220, loss: 1.2335, lr: 0.001
2024-06-15 14:08:05 - train: epoch 1, iter:240, loss: 1.2277, lr: 0.001
2024-06-15 14:08:12 - train: epoch 1, iter:260, loss: 1.2251, lr: 0.001
2024-06-15 14:08:19 - train: epoch 1, iter:280, loss: 1.2256, lr: 0.001
2024-06-15 14:08:26 - train: epoch 1, iter:300, loss: 1.2209, lr: 0.001
2024-06-15 14:08:34 - train: epoch 1, iter:320, loss: 1.2177, lr: 0.001
2024-06-15 14:08:41 - train: epoch 1, iter:340, loss: 1.2176, lr: 0.001
2024-06-15 14:08:48 - train: epoch 1, iter:360, loss: 1.2178, lr: 0.001
2024-06-15 14:08:55 - train: epoch 1, iter:380, loss: 1.2181, lr: 0.001
2024-06-15 14:09:02 - train: epoch 1, iter:400, loss: 1.2123, lr: 0.001
2024-06-15 14:09:09 - train: epoch 1, iter:420, loss: 1.2136, lr: 0.001
2024-06-15 14:09:16 - train: epoch 1, iter:440, loss: 1.2148, lr: 0.001
2024-06-15 14:09:23 - train: epoch 1, iter:460, loss: 1.2139, lr: 0.001
2024-06-15 14:09:30 - train: epoch 1, iter:480, loss: 1.2094, lr: 0.001
2024-06-15 14:09:38 - train: epoch 1, iter:500, loss: 1.2067, lr: 0.001
2024-06-15 14:09:52 - val epoch: 1, loss: 1.1101, miou: 0.16070028811644205, f1_or_dsc: 0.2769022972798995, accuracy: 0.9018393715659341,                 specificity: 0.9752618479199472, sensitivity: 0.19876779402704367
2024-06-15 14:09:53 - train: epoch 2, iter:0, loss: 0.9880, lr: 0.0009990232305719944
2024-06-15 14:10:00 - train: epoch 2, iter:20, loss: 1.0674, lr: 0.0009990232305719944
2024-06-15 14:10:07 - train: epoch 2, iter:40, loss: 1.1034, lr: 0.0009990232305719944
2024-06-15 14:10:14 - train: epoch 2, iter:60, loss: 1.1003, lr: 0.0009990232305719944
2024-06-15 14:10:21 - train: epoch 2, iter:80, loss: 1.0872, lr: 0.0009990232305719944
